V1,V2,Dennis Cliff Smith,
Lessort than Jake,"Benicia, CA",California,
Devi Maksuti,"Tampa, FL",Florida,
Ricky Arnott,"Dallas, TX",Texas,
Chanel Greeen,"Raleigh, NC",North†Carolina,
Kelton B Whitehead Q&,"Raleigh, NC 'Long Island, NY ",New†York,
christian deeter,"Greenville, SC",South carolina,
Woody Woodard,"Euless, TX",Texas,
Omar Boone II,"Oklahoma City, OK",Oklahoma,
Darlene,"King, NC",North†Carolina,
Jamarl Nunley,"Memphis, TN",Tennessee,
Jay Rodriguez III,"New York, NY",New†York,
Aaron Walker,"San Antonio, TX",Texas,
carlos griego,"Espanola, NM",New mexico,
Toms Gilson,"Dublin City, Ireland",West Virginia,
iN my oWn WorLd,"lostville, Indiana",Pennsylvania,
Dom Mendoza,"Eugene, OR",Oregon,
Chris,Boston,Massachusetts,
Devin Coll,"Blacksburg, VA",Virginia,
Aaron,"Dallas, TX",Texas,
The Goat,"Philadelphia, PA",Pennsylvania,
FahadG,Seattle ,Washington,
Sam Morelli,"Hopedale, MA",Massachusetts,
Ivan Hernandez,"Midlothian, IL",Illinois,
Grant Krause,"Boca Raton, FL",Florida,
"hesomelo¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Chester"," PA""",Pennsylvania,
Zionasti,"Elizabethtown, NC",North†Carolina,
Lucy's Bridal,"Vass, NC ",North†Carolina,
Wes G,TX,Texas,
"Saint Lazarus ¬©®π¶¬©‚®π¶¨""Allen"," TX""",Texas,
Joel Zelenski,PA,Pennsylvania,
Gabe Greene,"Mukwonago, WI",Wisconsin,
Greg Pascucci,"Raleigh, NC",North†Carolina,
Lauren Fech,"Wausau, WI",Wisconsin,
mac,"Pittsburgh, PA",Pennsylvania,
JGLOI&,"Fort Worth, TX",Texas,
Timothy Lefczik,"Maple Shade, NJ",New jersey,
Seth Ryberg,Happy Valley,Oregon,
&(Saints 7-2)&,Atlanta,New York,
Mattatouille,"Birmingham, England",Arkansas,
Kyle Perkins,Raleigh ,West Virginia,
"daddy c ¬©®π¶¬©‚®π¶¨""Sanford"," NC""",North†Carolina,
Mike Culpin,Bristol,Rhode Island,
Steve Cormier Esq.,"Wood Buffalo, Alberta",Virginia,
Anthony Ty Padgett,"Southport, Florida",Puerto Rico,
Charlie Vuong,"Rosemead, California",Pennsylvania,
Paul,"Galway, Ireland",West Virginia,
Kaeden Sheets,"Sterling, CO",Colorado,
ian mcdermott,"Roswell, GA",Georgia,
Moises Serrano,"Dallas, TX ",Texas,
D Clark,"Gallipolis, OH",Ohio,
Johnathan Baublitz,PA,Pennsylvania,
Drew Pierce,"Louisville, KY",Kentucky,
hannah roberts,"Mesquite, TX",Texas,
Max Margulis,"New York, NY",New†York,
Devin Hungerford,"Las Cruces, NM",New mexico,
Keenan Fiorillo,"Chester Springs, PA",Pennsylvania,
MYKE-HYLTON,"Dallas, TX",Texas,
Patrick,New York,New York,
Shomari,"Raleigh, NC",North†Carolina,
Ty Parker,"Lubbock, TX",Texas,
Ahmad Awadallah,"West New York, NJ",New jersey,
ajm,"Little Elm, TX",Texas,
Lil 31Flavors,"Plano, TX",Texas,
Tyler Patricelli,"Florence, NJ",New jersey,
Austin,"Canton, TX",Texas,
Shelton Solum,"Scottsdale, AZ",Arizona,
Sammy Brown,"Commerce, TX",Texas,
Akshara setty,"Plano, TX",Texas,
Lance Higgins,"Portland, Maine",New York,
Frenchie,"New Britain, CT",Connecticut,
DK,"Newquay, England",Arkansas,
"Coach T.Jones =0¢¬©‚®π¶¬©‚®π¶¨""Pearland/Missouri City"," TX""",Texas,
Jer,Ottawa,West Virginia,
David Kelly,"Hull, England",Arkansas,
John Doe,Earth,Texas,
Khari Jefferson,"Reading, PA",Pennsylvania,
Jazmine Moore,"Austin, TX",Texas,
Sam Walsh,"Bel Air, MD",Maryland,
Daryl Morey,"Philadelphia, PA",Pennsylvania,
Mason Hart,"Austin, TX",Texas,
Travis Blouin,"Gobles, MI",Michigan,
Andrew Simones,"Vandalia, OH",Ohio,
BossmanJay,"Montgomery Village, MD",Maryland,
Noah Driver,"Concord, NC",North†Carolina,
Johnny Grado, Stillwater,Maine,
Seth Kaas,"Philadelphia, PA",Pennsylvania,
Shelovesfootball,"Atascocita, TX",Texas,
kg,"Dallas, TX",Texas,
Nick Profita,Boston,Massachusetts,
Vinod S,"Redondo Beach, CA",California,
AL,"Philadelphia, PA",Pennsylvania,
Dimitris Karamanis,Athens,Maine,
JP -',"San Francisco, California",Pennsylvania,
Cha Cha,Canada,Kentucky,
Alex Jones,"Liverpool, England",Arkansas,
Shon,Canada,Kentucky,
Lo,"Sacramento, CA",California,
Marri LA Jewell,"Muskegon, MI",Michigan,
Bryan Contreras,"Dallas, TX",Texas,
Tjay Herbert,"Beaver County, Alberta",Virginia,
Joel Harrison,"Montgomery, AL",Alabama,
Larry Arthur,"Wilson, NC",North†Carolina,
Garrett Allen,Canada,Kentucky,
=0¢·rio,"Miami, FL",Florida,
Jasontrevizo,"Fort Worth, TX",Texas,
Dashone Blacknall,"Hillsboro, TX",Texas,
Nicholas Tanzymore,"Merrillville, IN",Indiana,
"Shawn John ¬©®π¶¬©‚®π¶¨""Crestview Hills"," KY""",Kentucky,
Danny Assets,"New York, NY",New†York,
Luis Maldonado,"Fayetteville, NC",North†Carolina,
Fernando,"Durham, NC",North†Carolina,
PMC aka PrimeMC,"Raleigh, NC",North†Carolina,
Jeremy Fountain,"Valdosta, GA",Georgia,
Edward Hawkins,"Atascocita, TX",Texas,
Keith Sway,"Tavares, FL",Florida,
Lui Cabral,"Boston, MA",Massachusetts,
Alexander,"Dallas, TX",Texas,
Ryan Kuhn,Providence,Rhode Island,
Matt Kellogg,"Dallas, TX",Texas,
Shaun freeman,"Traralgon, Victoria",Virginia,
"Robyn J ¬©®π¶¬©‚®π¶¨""Ocala"," FL""",Florida,
K L L,"Dallas, TX",Texas,
D. Wilson,"Traverse City, MI",Michigan,
Lance O'Donnell,"Lenexa, KS",Kansas,
Oliver,"Flower Mound, TX",Texas,
Xavier O Hamilton,"Hope Mills, NC",North†Carolina,
"Taj Chachere ®π¶¨""Omaha"," NE""",Nebraska,
JOHN-AMOS,"Dallas, TX",Texas,
Kathleen,"Racine, WI",Wisconsin,
Black Barbie,"Mesquite, TX",Texas,
Malik Hughes,"St. Joseph, MO",Missouri,
Kyle Jackson,"New York, NY",New†York,
Tyrell Threadgill,"Hanford, CA",California,
Maikeba_Victoria23,"Beaufort, SC",South carolina,
Hank Tatum,"Kennesaw, GA",Georgia,
Yaheya Heikal,"Los Angeles, CA",California,
skinnypat,"Girard, OH",Ohio,
Kenneth Payne,"Lexington, KY",Kentucky,
niko lloyd,"Fayetteville, NC",North†Carolina,
Basketball,"Los Angeles, CA",California,
Alex M,"Raleigh, NC",North†Carolina,
Yvng Reezy,"Chattanooga, TN",Tennessee,
Laila Muhammad,"Dallas, TX",Texas,
Black Yagami,"Leicester, England",Arkansas,
Michael Hebert,"Smyrna, GA",Georgia,
YurzTrulyTrey3,"Los Angeles, CA",California,
Johnny_BBN,"Jacksboro, TN",Tennessee,
Tarun Jakkaraju,"The Woodlands, TX",Texas,
Dirk Vader,"Dallas, TX",Texas,
Andre Howard,"Frisco, TX",Texas,
Ana (',"South Padre Island, TX",Texas,
Ian Stewart,"Dallas, TX",Texas,
King Cool,"Bradenton, FL",Florida,
peteyN,"Dallas, TX",Texas,
Robbin Sunflower,"Las Vegas, NV",Nevada,
Dakota Martin,"Frostproof, FL",Florida,
Marissa,"Dallas, TX",Texas,
Man's not Lewis,"Lusaka, Oakland",Rhode Island,
Francis Marasigan,"Hamilton, TX",Texas,
"Jay¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Corpus Christi"," TX""",Texas,
..,"Dallas, TX",Texas,
"Adrian W Wilson, Ad","Dallas, TX",Texas,
BryanG.,"San Antonio, TX",Texas,
Jay,"Allen, TX",Texas,
Neebs,"Denton, TX",Texas,
LongLive¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®πps,"Macon, GA",Georgia,
Timberwolves Fan,"Springfield, VA",Virginia,
Brent Cecil,Arlington,Massachusetts,
BOWWWWWWWWWWWWWWWWSTON CELTICS ¬©®π¶¬©‚®π¶¨Florida,Puerto Rico,,
Malaek,Canada ,Kentucky,
Simon cls,Belgium,Wisconsin,
Jasir,"Tampa, FL",Florida,
GunsNRosesFC BR,"Los Angeles, CA",California,
Ali Alperen Ayaz,"Istanbul, Turkey",North Carolina,
Stiff,"Austin, TX",Texas,
Jay Parsons,"Raleigh, NC",North†Carolina,
',"Wilson, NC",North†Carolina,
Marc Gibbs,"Tucson, AZ",Arizona,
Adnan Bare,"Minneapolis, MN",Minnesota,
Joseph Martinez,"Logan Square, Chicago",Illinois,
Shaun Singleton,"Las Vegas, NV",Nevada,
Brayden Hamilton,"Lubbock, TX",Texas,
WFSM,Winston Salem,North Carolina,
Tj,"Fayetteville, NC",North†Carolina,
Hansen clarke,LA,California,
Jeremiah,"Birmingham, AL",Alabama,
Austin Hall,"Fort Worth, TX",Texas,
JUAN AGUILAR!....,"Compton, CA",California,
"¬©®π¶¬©‚®π¶¨""Fayetteville"," NC""",North†Carolina,
Payton Kasper,"Elgin, IL",Illinois,
Mgray80,"Portland, OR",Oregon,
Alphonso Harris,"Pinellas County, FL",Florida,
Rudy,"Dallas, TX",Texas,
Social and Social,London,West Virginia,
James Williams,"Long Beach, CA",California,
"TreyDaKid¬©®π¶¬©‚®π¶¨""Casselberry"," FL""",Florida,
Lucas Mayer,"Naples, FL",Florida,
Brandon Howard,"Garden City, SC",South carolina,
Blake,"Topeka, KS",Kansas,
Joshua,"Dallas, TX",Texas,
Jaden Mendez,"Humble, TX",Texas,
Klayton Lynn Shutter,"Arlington, TX",Texas,
"ngel ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""North Las Vegas"," NV""",Nevada,
Skylar Northrop,"Durham, England",Arkansas,
Chris Kloc,Michigan,North Dakota,
davin mitchell,"Phoenix, AZ",Arizona,
Tj East,"High Point, NC",North†Carolina,
"¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π
 B&¢Ãamont Robinson ¬©®π¶¬©‚®π¶¢,Little Rock"," AR""",Arkansas,
nathan,"Dallas, TX",Texas,
Liam Gunther,"Melbourne, Victoria",Virginia,
ladiesmoanpooh,"Plainfield, NJ",New jersey,
"¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶ÀEENY¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Baltimore"," MD""",Maryland,
CP3,"Delta, OH",Ohio,
Martin Williams,"Raleigh, NC",North†Carolina,
Tyler Olanrewaju,"Columbus, OH",Ohio,
Sean O'Connor,"Fort Worth, TX",Texas,
rick,"Sacramento, CA",California,
OG.,"Canton, MS",Mississippi,
Cole Wells,"Garland, TX",Texas,
Tenika James,"Fayetteville, NC",North†Carolina,
james,"Miami, FL",Florida,
Morbid Laker Fan,"Davis, CA",California,
Tre Ridley,"Las Vegas, NV",Nevada,
John Geromanos,NJ,New jersey,
Larry Gibbons,"Apex, NC",North†Carolina,
Jonathan Harris,Milwaukee,Wisconsin,
Joel Torres,"Greensboro, NC",North†Carolina,
BaddYaya,"Winston-Salem, NC",North†Carolina,
Brandian S.,"Cincinnati, OH",Ohio,
Aubrey Merritt,"Richmond, VA",Virginia,
Fergus Martin,"Melbourne, Victoria",Virginia,
Martha_Sahyounie,"Dublin City, Ireland",West Virginia,
mason matsuda,"Spartanburg, SC",South carolina,
Sam-I-am,"Trill City, TX",Texas,
medrano,"Grand Prairie, TX",Texas,
Simax Jordan,"Buffalo, NY",New†York,
Young OG,Atlanta ,New York,
Ash,"Tucson, AZ",Arizona,
Amy Leigh Brown,"Wilmington, NC",North†Carolina,
Hibachi 88,"Raleigh, NC",North†Carolina,
Joshwa Pulgarin,Jersey,Virginia,
Nicolas Ramos,"West Covina, CA",California,
Thomas Murray,"Ellesmere Port, England",Arkansas,
Ian Bolger,"Tallahassee, FL",Florida,
Noel Anderson,"Raleigh, NC",North†Carolina,
Able,"Raleigh, NC",North†Carolina,
The Bucket Bros,"Wichita, KS",Kansas,
Tommie.,"Atlanta, GA",Georgia,
Joshua  Otor,"Crawley, England",Arkansas,
Tommo,"Calverton, MD",Maryland,
Derrick Mitchell,"Bakersfield, CA",California,
Raytoven,"Eastern, NC",North†Carolina,
Isaiah Butler,"Yukon, OK",Oklahoma,
Al Bladez,"Madera, CA",California,
DP,"Indianapolis, IN",Indiana,
Josh Smith < ,"Lumberton, NC",North†Carolina,
Zachyy¬©®π¶¬©‚®π¶¨Orlando,West Virginia,,
Ben Agosta,"Berkley, MI",Michigan,
Rico S. LaMota,"S.E. Fresno, CA",California,
Debbie Ellis,"Wake Forest, NC",North†Carolina,
Jason Edwards,Fort Worth,Texas,
Luis DeLosSantos,Lubbock,Texas,
Adrian Williams,"Dallas, TX",Texas,
Tim Padgett,"Apex, NC",North†Carolina,
Brandon Smith,"Kaufman, TX",Texas,
Joshua Sage,"Hampton, GA",Georgia,
Jake Hubbell,"Dallas, TX",Texas,
"TEFFLON THE DON MON¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Akron"," OH""",Ohio,
Motari Momanyi,"Dallas, TX",Texas,
Tayler Creech,"Eaton, OH",Ohio,
Jordan Hill,"Starke, FL",Florida,
SplidushGaming,"Lehigh Acres, FL",Florida,
Matthew Iosco,"Dallas, TX",Texas,
"Katie Geiger¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π
 @&","Dallas, TX",Texas,
BMGQuanny ,"Fayetteville, NC",North†Carolina,
Michael Lee,"Chicago, IL",Illinois,
Jesus Lopez Jr,"Dallas, TX",Texas,
Steve Cremer,"Arlington, TX",Texas,
Bryanna,"Cullowhee, NC",North†Carolina,
"¬©®π¶¬©‚®π¶¨""Orlando"," FL""",Florida,
Tyler Camp,"Midwest City, OK",Oklahoma,
Geo305,"Miami, FL",Florida,
John Upshaw,"Christiana, TN",Tennessee,
Brian Stinnett,"Louisville, KY",Kentucky,
VinMan,"Philadelphia, PA",Pennsylvania,
Travis K White'Jr,"Houston, TX",Texas,
Sydney Stone,"Raleigh, NC",North†Carolina,
Jai Quince,"Winston-Salem, NC",North†Carolina,
__________,"Chicago, IL",Illinois,
Steventually,"Tyler, TX",Texas,
"Isaiah Jacobs¬©®π¶¬©‚®π¶¨""Owasso"," OK""",Oklahoma,
zpence¬©®π¶¬©‚®π&¢¬©‚®π¶¬©‚®π¶¨Earth,Texas,,
Ellis Williams,"Tulsa, OK",Oklahoma,
Mikael Matj Lap',"London,England",Arkansas,
Hadley Knight,"El Dorado, KS",Kansas,
Ben Paquin,"Clearwater, FL",Florida,
Michael Kelly,"Chester, England",Arkansas,
Bryan Phan,"Richardson, TX",Texas,
J. Stoll,"Darien, IL",Illinois,
T,"Los Angeles, CA",California,
Mike Hancho,"Huffman, TX",Texas,
RyNo,"Vancouver,WA ",Washington,
Jacoby Thornsbury,"Williamson, WV",West Virginia,
Drew Piscopo,"West Jefferson, NC",North†Carolina,
Adam Xavier,"Corpus Christi, TX",Texas,
Arvis Miller,"Dallas,TX",Texas,
Curses In Cursive,Los Angeles,California,
Matt White,"Tampa, FL",Florida,
NickBrackney,"Allen, TX",Texas,
Anthony Taylor,"Omaha, NE",Nebraska,
Sam Crews,"Albuquerque, NM",New mexico,
M.P400,"Dallas, TX",Texas,
PM,"Southlake, TX",Texas,
Chris,"Anaheim, CA",California,
Spencer Higginbotham,"Royse City, TX",Texas,
Austin Hakkarainen,"Grove City, OH",Ohio,
Mikey^2,"Garland, TX",Texas,
luke cooper,Sydney,Florida,
"Wonderfully Made¬©®π¶¬©‚®π¶¨""Dallas"," TX""",Texas,
=0¢œO =0¢œO(',"Chicago, IL",Illinois,
Coro,"Las Colinas, TX",Texas,
Jaxon (7-8),"Tulsa, OK",Oklahoma,
Matt Smith,"Kennett, MO",Missouri,
"Bagz¬©®π¶¬©‚®π¶¨""Atlanta"," GA""",Georgia,
Andrew Christie,"St Albans, VT",Vermont,
O'Ryan,"Houston, TX",Texas,
Sherwin Abraham,Dallas,Pennsylvania,
CHAMPAGNE,"Ontario, Canada",Kentucky,
Kelly R Dearmore,"Dallas, TX",Texas,
Kirk Chapline,"Arlington, TX ",Texas,
"Tyrik ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Phoenix"," AZ""",Arizona,
Manny Mendez,"Ventura, CA",California,
Myrone Cromwell,"San Diego, CA",California,
Rahul Abhyankar,"Dallas, TX",Texas,
Myron B. Pitts D',"Fayetteville, NC",North†Carolina,
Tom DeSantis,"Baltimore, MD",Maryland,
Jud,Allen,Maryland,
Cavan Wilcox,"Aubrey, TX",Texas,
Big Blue,"Dallas, TX",Texas,
Conner Ramirez,"The Colony, TX",Texas,
Ryan Blue,"Corsicana, TX",Texas,
Anthony,"Houston, TX",Texas,
Connor Fowler,"Mornington, Melbourne",Florida,
Reed Kendall,"Philadelphia, PA",Pennsylvania,
Andrew Cabatingan,"Boston, MA",Massachusetts,
Billy Bergins,"Newark, NY ",New†York,
John Harper,"North Las Vegas, NV",Nevada,
Peezy Raw,"Brunswick, GA",Georgia,
Dane Ross,"Dimmitt, TX",Texas,
Michael Sepulveda,"Chattanooga, TN",Tennessee,
Sid|deeq 21 Average,"Philadelphia, PA",Pennsylvania,
Lauri MarkkanenBR,"Sao Paulo, Brazil",Indiana,
Brenden (5-10),"Lake Tapps, WA",Washington,
Aaron Park,"Allen, TX",Texas,
Dakota,"Vandalia, IL",Illinois,
Donta Henderson,"Pittsburgh, PA",Pennsylvania,
Graham,"Dwight, IL",Illinois,
"Navdeep Singh ,&","Centreville, VA",Virginia,
Peyton York,"Shelbyville, KY",Kentucky,
HoodieJÁ©¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨Omaha,Georgia,,
Mike Elizondo,"WEST DALLAS, TX",Texas,
Pelicans Brazil 8-7,"New Orleans, LA",California,
Yates,"Dallas, TX",Texas,
"SlaterMcFly!¬©®π¶¬©‚®π¶¢"",Louisville"," KY""",Kentucky,
Anthony M,"St. Louis, MO",Missouri,
Jhabhari Edwards,"Houston, TX",Texas,
juan,NJ,New jersey,
Riley Erickson,"Rochester, WA",Washington,
Tojo Rabe,Lubbock,Texas,
P's,"Jacksonville, FL",Florida,
Ron Tillman,"Atlanta, GA",Georgia,
apple 5,"Mission, TX",Texas,
Cobbyear,Chicago,Illinois,
"L A T E E F ¬©®π¶¬©‚®π¶¨""Trenton"," NJ""",New jersey,
Jay Gray,"Charlotte, NC",North†Carolina,
.,"Las Vegas, NV ",Nevada,
Kenny,"Egg Harbor Township, NJ",New jersey,
Salman Islam,"Midland/Austin, TX",Texas,
David Green,"Dallas, TX",Texas,
"¬©®π¶¬©‚®π¶¨""Mississauga"," Ontario""",New York,
Juan Diego,"Lima, Peru",Maine,
Channing Carrington,"Raleigh, NC",North†Carolina,
Pitt,"Memphis, TN",Tennessee,
Alex Hostettler,"London,KY",Kentucky,
Michael Jackson,"Portland, OR",Oregon,
Krisskross,"Bamberg, SC",South carolina,
ZKC80&,"Pflugerville, TX",Texas,
Sam Crystal,"Los Angeles, CA",California,
DjNBA,"New York, NY",New†York,
Larry,Maryland,New York,
Taylor Heintz,"Kansas City, MO",Missouri,
Tre,Baltimore,Maryland,
Kristian Aadny,"Lillestrm, Norway",Maine,
Bas Pannecoucque,"Ypres, Belgium",Wisconsin,
Sammy Guzman,"Sachse, TX",Texas,
Luis O. Antongiorgi,"Cleveland, OH",Ohio,
Jay Lee,"Richmond, VA/ Raleigh, NC",North†Carolina,
Ryan Turner,"Ft. Worth, TX",Texas,
Colton Jack,"Dallas, TX",Texas,
Conner Thompson,"Houston, TX",Texas,
"Dallas Mavericks ¬©®π¶¬©‚®π¶¨""Dallas"," TX""",Texas,
Orlando,"Cleveland, OH",Ohio,
Alex Gruber,"Mars, PA",Pennsylvania,
Jeffrey Witherspoon,"Shavano Park, TX",Texas,
Oliver Petersen,"New York, NY",New†York,
Steve,"Fayetteville, NC",North†Carolina,
H4HUS,"Bedford, NY & Cameron, NC",North†Carolina,
Hektuhh,"Dallas, TX",Texas,
Caden Cooper,"San Antonio, TX",Texas,
Yanni Ballis,"Lake Forest, IL ",Illinois,
Riley,"Colorado Springs, CO",Colorado,
~,"We out here, TX",Texas,
Josh,"Milwaukee, WI",Wisconsin,
dilip,"Ithaca, NY",New†York,
L'YBL',"Birmingham, AL",Alabama,
Will Mullinix,"Raleigh, NC",North†Carolina,
Saul Silver,"Cloud 9, TX",Texas,
Trip Carrico,"Little Rock, AR",Arkansas,
Coach Miller,"Waxahachie, TX",Texas,
Gary Hagan,"Dallas, TX",Texas,
Tydrick Dickerson,"Ennis, TX",Texas,
calvin roszak,"Chicago, IL",Illinois,
Mr Pantone,"Boston, MA   New York, NY",New†York,
Dwight Priest,"Rock Hill, SC",South carolina,
Olivia Hall,"Lock Haven, PA",Pennsylvania,
Donald Carroll,"Broken Arrow, OK",Oklahoma,
BadAzz,"Orlando, FL",Florida,
Hanyuan Zhang,"Caulfield East, Melbourne",Florida,
Noah,"Detroit, MI",Michigan,
Brandon Nales,"New York, NY | Los Angeles, CA",California,
Antoine carlyle,"Waynesboro, GA",Georgia,
Nikitas Handrinos,"Stamford, CT",Connecticut,
Michael Atkinson,"Raleigh, NC",North†Carolina,
John R. Sigety,"Dallas, TX",Texas,
Ross Nerison,"Robbinsdale, MN",Minnesota,
Chase,"Ft Worth, TX ' Stillwater, OK",Oklahoma,
TSMITY,"New York, NY",New†York,
Ginny,"Dallas, TX",Texas,
B.T.,"Philadelphia, PA",Pennsylvania,
Henry Poaty,"Toronto, Ontario",New York,
michelle,"Chicago, IL",Illinois,
Zach,MN,Minnesota,
Jav,"Somewhere,TX",Texas,
Youngbull_jayy,"Fayette, MS",Mississippi,
Osjuone Hall,"Indianapolis, IN",Indiana,
$osa P0PE,"Atwater Village, Los Angeles",California,
"Tello¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Chicago", IL' Atlanta," GA""",Georgia
john,"Lubbock, TX",Texas,
¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬ULLETCLUB956,"Edinburg, TX",Texas,
Colten,"Garland, TX",Texas,
Mot Mot,Fort Worth,Texas,
Maurice Davidson,"Birmingham, AL",Alabama,
reggie mcfly,"San Jose, CA",California,
Intellectual Killah,Atlanta,New York,
Richard Starr,"Cleveland, Ohio ",Illinois,
Dre Songz,"Oakland, CA",California,
John,"Grapevine, TX",Texas,
Eric Robach,"Irondequoit, NY",New†York,
Dae Dae,"UTSA, San Antonio ",Puerto Rico,
Brandon Simpson,"Arlington, TX",Texas,
Brandon D. Madden,"Dallas,TX",Texas,
Logan,"Lubbock/Mckinney, TX",Texas,
J Dogg,"Dallas, USA Oak Cliff, TX",Texas,
Gabriel Mana,"Manhattan, NY",New†York,
keller crawford,"Lubbock, TX",Texas,
Erik,"Santa Barbara, CA",California,
C$.[&,"Gardena, CA",California,
Bryan Savens,"San Antonio, TX",Texas,
Scotty Dye,"Abilene, TX",Texas,
Spencer Klein,Seattle,Washington,
David Scheid,"Clinton, IL",Illinois,
Dorian,"Fayetteville, NC",North†Carolina,
Christopher,"Lewisville, TX",Texas,
Christian Oseguera,"Flower Mound, TX",Texas,
Mr2keveryday 2K17,"Houston, TX",Texas,
Demetrius Robinson,"Watertown, NY",New†York,
Clint Bolt,"McKinney, TX",Texas,
Marcelo M.,"Sao Paulo, Brazil",Indiana,
John Risinger,"Savage, MD",Maryland,
Nikhil Patel,"Allen, TX",Texas,
Carlos Ortiz,"San Marcos, TX",Texas,
Darrell Fisher,"Charlotte, NC",North†Carolina,
AW deHaas,"Dallas, TX",Texas,
"FMB_LITO¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Battle Creek"," MI""",Michigan,
Maria Lamothe,"Chicago, IL",Illinois,
Alex,Dallas,Pennsylvania,
Drew,"MCB Quantico & Stafford, VA",Virginia,
Diamond Ruffin,"Raleigh, NC",North†Carolina,
Markell,"Augusta, GA",Georgia,
Kris Costello,"South Central, LA",California,
¢Õost Hated P,New York,New York,
J,"USA/Philadelphia, PA",Pennsylvania,
Casey Stern,"North Buckhead, Atlanta",New York,
Andres Castillo,"DALLAS,TX",Texas,
Austin White,"Justin, TX",Texas,
Aaron Jones,"Keller, TX",Texas,
Tanner Haynes,"Burleson, TX ¬® Emporia, KS",Kansas,
J.T.F,"Tyler, TX",Texas,
Tim Maloney,Philadelphia,New York,
Peppa&&,"Winona, MS",Mississippi,
Trevor Frank,"Houston, TX",Texas,
Jeffrey Sandoval,"Bellevue, NE",Nebraska,
jamie,"Boston, MA",Massachusetts,
U N D E R R A T E D,"Chicago, IL",Illinois,
Johnathan Ontiveros,"Grand Prairie, TX",Texas,
"Co!¬©®π¶¬©‚®π¶¨""New Orleans"," LA""",California,
AnthonyP&,"Dallas, TX",Texas,
casey buscher,"Lubbock, TX",Texas,
LaJeremiah Ball,"Long Beach, CA",California,
"HEAVY¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Los Angeles"," CA""",California,
Yung Simba,"Louisville, KY",Kentucky,
MainTain9,"Lumberton, NC",North†Carolina,
busy winning,"Highbridge, Bronx",New York,
Gary Pinson,Dallas,Pennsylvania,
WereWolf D_O,"Philadelphia, PA ",Pennsylvania,
"chrstphr¬©®π¶¬©‚®π¶¨""South Bay"," CA""",California,
Jake Harrington,"Florence,AL",Alabama,
Silky Ash Williams,"New Orleans, LA",California,
Noella Harrie,"Victorville, CA",California,
Jacob Waymon,"Conway, AR",Arkansas,
Vanessa Cabrera,DFW,Texas,
$ham,Washington,New Hampshire,
Laurence Smith,"Maywood, IL",Illinois,
deshone drakeford,"Paterson, NJ",New jersey,
$hun¬©®π¶¬©‚®π¶¨Mars,Pennsylvania,,
Jay Lewis,"Los Angeles, CA",California,
Sean Mapile,"Chatsworth, Los Angeles",California,
Devin,"Denver, CO",Colorado,
Camilla,"Raleigh, NC",North†Carolina,
JusMic,Boston,Massachusetts,
Jamel S.,"Tucson, AZ",Arizona,
Drake Rufus.,"Forest, VA",Virginia,
Jearanch,"Montebello, CA",California,
Jermaine,Canada,Kentucky,
Jeremy Scates,"Nashville, TN",Tennessee,
Tommy,"McAllen, TX",Texas,
Eli,"Rancho Cucamonga, CA",California,
Robert Nusser,"Dallas, TX",Texas,
"¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Queens"," NY""",New†York,
Henry Ajagbawa,London,West Virginia,
James Green,"Ocean Grove - Barwon Heads, Victoria",Virginia,
Andrew Cook,"Drexel, NC",North†Carolina,
Yung Dylano,Nederland,Texas,
TeylorJ,"Detroit, MI",Michigan,
III,"Denton, TX",Texas,
Sterling Cole,"Houston, TX",Texas,
Carter House,"Hagerstown, Indiana",Pennsylvania,
"PG 14 ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π
 B&","Phoenix, AZ",Arizona,
Missy Doll,"Las Vegas, NV",Nevada,
J a c k,"Clovis, CA",California,
Tresor Kinda Djelo,Brussels,Wisconsin,
carlos bradley,"Dallas, TX",Texas,
